pred_x,pred_y,true_x,true_y,distance_error,n_candidates
339,297,288.09874656932203,236.93034033959776,78.73564385035955,25
342,244,342.4997702863832,245.9100478614722,1.9743487970128484,25
306,203,305.19716966207295,204.78997163371594,1.9617683352026447,25
218,296,238.6983560591896,287.31198150109867,22.4477974195742,25
322,187,290.3035900961106,196.84466502198063,33.19005619444454,25
214,322,232.12038756467345,232.85633209151177,90.96670805120303,25
251,280,248.68839280033842,294.6364271638668,14.817844916475053,25
165,239,433.54395724060646,219.65219227729312,269.2400316337069,25
228,442,297.30655248685565,101.55541948478526,347.42756168702823,25
209,245,224.12456647560944,277.5188052415931,35.86398200724219,25
209,264,299.0009580610052,261.8551434492837,90.02651199242345,25
283,250,257.3621658211928,246.2445157968421,25.91142996787681,25
251,140,261.53540951188575,312.45854548232296,172.78004735345337,25
179,273,179.75142466777987,270.51376475379453,2.597307207633023,25
238,180,238.62638357818997,182.98564208304424,3.0506417415145335,25
361,472,360.90930551194504,471.70370402036076,0.3098657737052107,25
282,316,314.9850497154675,304.9060013272393,34.800722855755126,25
245,218,258.4412747513567,193.67601025465729,27.79072406528833,25
260,302,240.33719950455523,472.79666735419516,171.92477221919842,25
170,273,273.1391923858808,354.2373915487673,131.29054342053524,25
205,245,219.76378584252404,237.8825080881627,16.38987686100731,25
323,300,339.3507894070548,264.0376617516814,39.504912182162016,25
312,117,294.81953203217375,171.4913134527486,57.13555566719559,25
239,242,163.41361582033653,181.5892480785172,96.76135809854375,25
346,259,256.41963417969697,278.527700006043,91.68409353876673,25
245,209,240.3803359049708,201.26014177794127,9.013695227179147,25
254,183,274.5269065904237,238.89428508548218,59.544311226087224,25
338,366,315.35085707854574,353.0297535994847,26.100018520425255,25
227,221,229.45035034196042,226.27901263911826,5.8199820654634244,25
242,259,240.70729897095623,261.8600541977328,3.138628038563938,25
273,225,283.89179785994685,230.4503800855099,12.179404899192143,25
383,210,291.553918524988,251.65546822870516,100.48663518342727,25
314,262,261.2170510963304,298.1554215339852,63.97854485112611,25
262,323,260.99992406732736,323.6279060663019,1.1808547324754868,25
255,233,250.31278220108993,229.48059959882323,5.861415347697393,25
236,225,272.4967933041329,207.64231721857425,40.41416921112203,25
297,258,282.05471295845166,250.66057520293646,16.650188020140313,25
276,295,276.36395840352276,297.7789461421003,2.8026786080799755,25
299,268,222.74986114541866,160.1509663271736,132.08140572959306,25
265,204,247.86574983558987,237.9799099327863,38.055443864667495,25
299,59,366.46027302301786,278.23203850621394,229.37649213450402,25
242,292,297.3301826949821,205.4165728261866,102.75270788754496,25
230,199,225.9657057411689,200.48514404762494,4.298974646242211,25
191,394,197.59488613968858,388.7433940612878,8.433530055105093,25
225,258,114.72058501982025,261.7521806109515,110.34322918832807,25
431,363,358.6082650609042,175.56676538914547,200.92730208754594,25
291,241,271.01417330655244,239.77734358693078,20.023190488154988,25
249,212,251.34535734841472,215.81003679913533,4.4740453174424095,25
320,175,275.0407128045703,134.0902492800422,60.78606097692312,25
313,260,314.03272704873933,255.6990458382091,4.423203800304076,25
219,205,216.8508687333479,206.14248691926872,2.43393540629199,25
222,286,239.8639827848476,268.38008617777695,25.09149744514859,25
230,284,305.8361547830246,245.57697708895233,85.01441678855274,25
431,205,227.88247304135496,245.13000686752895,207.04382919803191,25
237,294,251.25946702482335,264.79413556185744,32.500998714057765,25
301,257,302.5200153409733,256.480273433773,1.6064128798152553,25
205,279,204.28803104765467,276.2699903045963,2.821321095887847,25
